ticker,name,sector,segment,market,exchange,reliability
PLD,Prologis,Real Estate,S&P 500,North America,NYSE,high
RTX,RTX Corporation,Industrials,S&P 500,North America,NYSE,high
HON,Honeywell,Industrials,S&P 500,North America,NASDAQ,high
ETN,Eaton,Industrials,S&P 500,North America,NYSE,high
T,AT&T,Communication Services,S&P 500,North America,NYSE,high
MS,Morgan Stanley,Financials,S&P 500,North America,NYSE,high
SCHW,Charles Schwab,Financials,S&P 500,North America,NYSE,high
SYK,Stryker,Healthcare,S&P 500,North America,NYSE,high
BLK,BlackRock,Financials,S&P 500,North America,NYSE,high
VRTX,Vertex Pharmaceuticals,Healthcare,S&P 500,North America,NASDAQ,high
C,Citigroup,Financials,S&P 500,North America,NYSE,high
NEE,NextEra Energy,Utilities,S&P 500,North America,NYSE,high
PANW,Palo Alto Networks,Technology,S&P 500,North America,NASDAQ,high
DE,Deere & Company,Industrials,S&P 500,North America,NYSE,high
UNP,Union Pacific,Industrials,S&P 500,North America,NYSE,high
MDT,Medtronic,Healthcare,S&P 500,North America,NYSE,high
BMY,Bristol-Myers Squibb,Healthcare,S&P 500,North America,NYSE,high
DHR,Danaher,Healthcare,S&P 500,North America,NYSE,high
CB,Chubb,Financials,S&P 500,North America,NYSE,high
TJX,TJX Companies,Consumer Discretionary,S&P 500,North America,NYSE,high
SO,Southern Company,Utilities,S&P 500,North America,NYSE,high
MU,Micron Technology,Technology,S&P 500,North America,NASDAQ,high
AMAT,Applied Materials,Technology,S&P 500,North America,NASDAQ,high
CI,Cigna,Healthcare,S&P 500,North America,NYSE,high
ELV,Elevance Health,Healthcare,S&P 500,North America,NYSE,high
PGR,Progressive,Financials,S&P 500,North America,NYSE,high
BSX,Boston Scientific,Healthcare,S&P 500,North America,NYSE,high
MMC,Marsh & McLennan,Financials,S&P 500,North America,NYSE,high
APD,Air Products,Materials,S&P 500,North America,NYSE,high
ICE,Intercontinental Exchange,Financials,S&P 500,North America,NYSE,high
CL,Colgate-Palmolive,Consumer Staples,S&P 500,North America,NYSE,high
ADI,Analog Devices,Technology,S&P 500,North America,NASDAQ,high
KLAC,KLA Corporation,Technology,S&P 500,North America,NASDAQ,high
REGN,Regeneron,Healthcare,S&P 500,North America,NASDAQ,high
CME,CME Group,Financials,S&P 500,North America,NASDAQ,high
ZTS,Zoetis,Healthcare,S&P 500,North America,NYSE,high
DUK,Duke Energy,Utilities,S&P 500,North America,NYSE,high
FI,Fiserv,Technology,S&P 500,North America,NYSE,high
MCO,Moody's,Financials,S&P 500,North America,NYSE,high
EMR,Emerson Electric,Industrials,S&P 500,North America,NYSE,high
HCA,HCA Healthcare,Healthcare,S&P 500,North America,NYSE,high
TT,Trane Technologies,Industrials,S&P 500,North America,NYSE,high
AON,Aon,Financials,S&P 500,North America,NYSE,high
PSA,Public Storage,Real Estate,S&P 500,North America,NYSE,high
GD,General Dynamics,Industrials,S&P 500,North America,NYSE,high
PH,Parker Hannifin,Industrials,S&P 500,North America,NYSE,high
SHW,Sherwin-Williams,Materials,S&P 500,North America,NYSE,high
ITW,Illinois Tool Works,Industrials,S&P 500,North America,NYSE,high
USB,US Bancorp,Financials,S&P 500,North America,NYSE,high
LMT,Lockheed Martin,Industrials,S&P 500,North America,NYSE,high
